indexNumber,time,latitude,longitude,resultNumber
0,2021-06-21 01:28:10.815735,-19.572715,147.12797,8
1,2021-06-21 01:28:10.816397,-19.572715,147.12799,13
2,2021-06-21 01:28:10.921930,-19.572715,147.12801000000002,8
3,2021-06-21 01:28:11.026255,-19.572715,147.12803000000002,9
4,2021-06-21 01:28:11.148818,-19.572715,147.12805000000003,8
5,2021-06-21 01:28:11.250610,-19.572715,147.12807000000004,9
6,2021-06-21 01:28:11.351280,-19.572715,147.12809000000004,8
7,2021-06-21 01:28:11.456241,-19.572715,147.12811000000005,8
8,2021-06-21 01:28:11.558562,-19.572715,147.12813000000006,11
9,2021-06-21 01:28:11.662352,-19.572715,147.12815000000006,5
10,2021-06-21 01:28:11.764815,-19.572715,147.12817000000007,10
11,2021-06-21 01:28:11.866008,-19.572715,147.12819000000007,6
12,2021-06-21 01:28:11.966643,-19.572715,147.12821000000008,9
13,2021-06-21 01:28:12.067356,-19.572715,147.1282300000001,5
14,2021-06-21 01:28:12.168328,-19.572715,147.1282500000001,10
15,2021-06-21 01:28:12.274030,-19.572715,147.1282700000001,8
16,2021-06-21 01:28:12.378614,-19.572715,147.1282900000001,11
17,2021-06-21 01:28:12.482814,-19.572715,147.1283100000001,9
18,2021-06-21 01:28:12.585585,-19.572715,147.12833000000012,7
19,2021-06-21 01:28:12.685963,-19.572715,147.12835000000013,9
20,2021-06-21 01:28:12.786414,-19.572715,147.12837000000013,11
21,2021-06-21 01:28:12.887137,-19.572715,147.12839000000014,6
22,2021-06-21 01:28:12.987530,-19.572715,147.12841000000014,5
23,2021-06-21 01:28:13.088224,-19.572715,147.12843000000015,9
24,2021-06-21 01:28:13.188957,-19.572715,147.12845000000016,10
25,2021-06-21 01:28:13.289826,-19.572715,147.12847000000016,9
26,2021-06-21 01:28:13.392395,-19.572715,147.12849000000017,7
27,2021-06-21 01:28:13.492868,-19.572715,147.12851000000018,5
28,2021-06-21 01:28:13.593356,-19.572715,147.12853000000018,11
29,2021-06-21 01:28:13.694291,-19.572715,147.1285500000002,7
30,2021-06-21 01:28:13.799580,-19.572715,147.1285700000002,9
31,2021-06-21 01:28:13.903635,-19.572715,147.1285900000002,5
32,2021-06-21 01:28:14.004177,-19.572715,147.1286100000002,8
